year	aba.wind	aba.heat	aba.regu	prob.sevr
1	296	0	0	0
2	445	0	0	0
3	13558	0	0	100
4	299	0	0	0
5	891	178	0	0
6	1263	0	0	0
7	0	0	0	45
8	0	0	0	45
9	0	0	0	45
10	0	0	0	45
11	0	0	0	45
12	0	0	0	45
13	0	0	0	45
14	0	0	0	45
15	0	0	0	45
16	0	0	0	45
17	0	0	0	45
18	0	0	0	45
19	0	0	0	45
20	0	0	0	45
21	0	0	0	45
22	0	0	0	45
23	0	0	0	45
24	0	0	0	45
25	0	0	0	45
26	0	0	0	45
27	0	0	0	45
28	0	0	0	45
29	0	0	0	45
30	0	0	0	45
31	0	0	0	45
32	0	0	0	45
33	0	0	0	45
34	0	0	0	45
35	0	0	0	45
36	0	0	0	45
37	0	0	0	45
38	0	0	0	45
39	0	0	0	45
40	0	0	0	45
41	0	0	0	45
42	0	0	0	45
43	0	0	0	45
44	0	0	0	45
45	0	0	0	45
46	0	0	0	45
47	0	0	0	45
48	0	0	0	45
49	0	0	0	45
50	0	0	0	45
51	0	0	0	45
52	0	0	0	45
53	0	0	0	45
54	0	0	0	45
55	0	0	0	45
56	0	0	0	45
57	0	0	0	45
58	0	0	0	45
59	0	0	0	45
60	0	0	0	45
61	0	0	0	45
62	0	0	0	45
63	0	0	0	45
64	0	0	0	45
65	0	0	0	45
66	0	0	0	45
67	0	0	0	45
68	0	0	0	45
69	0	0	0	45
70	0	0	0	45
71	0	0	0	45
72	0	0	0	45
73	0	0	0	45
74	0	0	0	45
75	0	0	0	45
76	0	0	0	45
77	0	0	0	45
78	0	0	0	45
79	0	0	0	45
80	0	0	0	45
81	0	0	0	45
82	0	0	0	45
83	0	0	0	45
84	0	0	0	45
85	0	0	0	45
86	0	0	0	45
87	0	0	0	45
88	0	0	0	45
89	0	0	0	45
90	0	0	0	45
91	0	0	0	45
