Year	Sawlogs	Primary
1	211484	736326
2	213930	742929
3	216376	749533
4	218821	756137
5	221267	762740
6	223713	769344
7	226158	775948
8	228604	782551
9	231050	789155
10	233495	795758
11	237071	802362
12	240646	808966
13	244221	815569
14	247797	822173
15	251372	828777
16	254947	835380
17	258523	841984
18	262098	848587
19	265673	855191
20	269249	861795
21	270160	876244
22	271072	890693
23	271984	905143
24	272895	919592
25	273807	934041
26	274718	948491
27	275630	962940
28	276541	977390
29	277453	991839
30	278364	1006288
31	279644	1022545
32	280923	1038801
33	282203	1055057
34	283482	1071314
35	284762	1087570
36	286041	1103826
37	287321	1120083
38	288600	1136339
39	289879	1152596
40	291159	1168852
41	291938	1185108
42	292717	1201365
43	293496	1217621
44	294275	1233877
45	295054	1250134
46	295833	1266390
47	296612	1282647
48	297391	1298903
49	298169	1315159
50	298948	1331416
51	300525	1339804
52	302101	1348193
53	303677	1356581
54	305253	1364969
55	306830	1373358
56	308406	1381746
57	309982	1390135
58	311558	1398523
59	313135	1406912
60	314711	1415300
61	316157	1422622
62	317603	1429944
63	319050	1437265
64	320496	1444587
65	321942	1451909
66	323389	1459231
67	324835	1466552
68	326281	1473874
69	327728	1481196
70	329174	1488518
71	331697	1494122
72	334221	1499726
73	336745	1505331
74	339268	1510935
75	341792	1516539
76	344316	1522144
77	346839	1527748
78	349363	1533352
79	351887	1538957
80	354410	1544561
81	355820	1547568
82	357229	1550576
83	358638	1553583
84	360047	1556591
85	361456	1559598
86	362865	1562605
87	364274	1565613
88	365683	1568620
89	367092	1571628
90	368501	1574635
