year	wind	heat
1	0	0
2	0.00654	0
3	0.00654	0
4	0.04575	0
5	0	0
6	0.00654	0
7	0.0915	0
8	0.03922	0
9	0.04575	0
10	0.09804	0
11	0.01307	0.01307
12	0.03922	0
13	0.03922	0
14	0.01961	0
15	0.0915	0
16	0.01307	0
17	0.01961	0.01307
18	0.04575	0.02614
19	0.05882	0.01961
20	0.05229	0.01307
21	0.08497	0
22	0.16993	0
23	0.11111	0
24	0.05882	0
25	0.06536	0.00654
26	0.08497	0
27	0.15033	0
28	0.10458	0
29	0.05229	0
30	0.07843	0
31	0.12418	0.00654
32	0.13072	0.06536
33	0.13072	0
34	0.05882	0.03268
35	0.12418	0
36	0.12418	0.05882
37	0.07843	0
38	0.03922	0.00654
39	0.01961	0.00654
40	0.11111	0.04575
41	0.17647	0.01307
42	0.0719	0.01307
43	0.0719	0
44	0.0719	0
45	0.17647	0
46	0.28758	0.00654
47	0.18954	0.02614
48	0.18954	0.03268
49	0.09804	0.01961
50	0.15686	0.03268
51	0.22222	0.03922
52	0.20261	0.06536
53	0.31373	0.07843
54	0.28758	0.0719
55	0.24183	0.01307
56	0.15033	0.08497
57	0.21569	0.01961
58	0.22876	0.00654
59	0.20261	0.02614
60	0.37908	0.05229
61	0.29412	0.10458
62	0.21569	0.06536
63	0.20915	0.0719
64	0.20915	0.05882
65	0.2549	0.07843
66	0.31373	0.02614
67	0.18954	0.15033
68	0.29412	0.04575
69	0.22222	0.04575
70	0.15033	0.01961
71	0.30719	0.13072
72	0.33333	0.03922
73	0.11765	0.03268
74	0.3268	0.10458
75	0.27451	0.04575
76	0.22876	0.11765
77	0.28758	0.0915
78	0.2549	0.02614
79	0.4183	0.14379
80	0.21569	0.14379
81	0.2549	0.10458
82	0.26144	0.0915
83	0.30065	0.0719
84	0.32026	0.03268
85	0.3268	0.05882
86	0.22222	0.13725
87	0.30667	0.19333
88	0.32667	0.22
89	0.36667	0.08667
90	0.36	0.2
91	0.27333	0.26
