spp	c	c_mnan	c2_mnan	c_mxan	c2_mxan	c_plan	c2_plan	c_rad	c2_rad
1	-10.50459082	3.053486961	-0.167061988	0.00E+00	0.00E+00	-0.004359177	0	-0.02346146	0
2	-1.11E+01	2.66E+00	-2.42E-01	0.00E+00	0.00E+00	1.25E-02	-1.06E-05	-1.92E-02	0.00E+00
3	-4.23E+01	2.92E+00	-1.42E-01	0.00E+00	0.00E+00	5.94E-02	-3.69E-05	4.99E-01	-1.68E-02
4	-1.14E+01	1.67E+00	-2.08E-01	0.00E+00	0.00E+00	1.71E-02	-9.80E-06	1.55E-01	-6.88E-03
5	-3.62E+01	2.27E+00	-1.12E-01	0.00E+00	0.00E+00	5.33E-02	-2.94E-05	-2.01E-02	0.00E+00
6	-4.46E-01	1.32E+00	-3.16E-01	0.00E+00	0.00E+00	-6.45E-03	3.27E-06	2.03E-01	-9.60E-03
7	-1.44E+01	2.14E+00	-5.85E-01	0.00E+00	0.00E+00	2.83E-02	-1.71E-05	7.57E-02	-9.74E-03
8	-1.11E+01	1.75E+00	-1.10E-01	0.00E+00	0.00E+00	1.12E-02	-4.58E-06	-2.49E-01	8.36E-03
9	-4.94E+01	4.32E+00	-2.18E-01	0.00E+00	0.00E+00	7.06E-02	-3.83E-05	-4.15E-01	1.24E-02
10	-1.02E+01	1.99E+00	-1.68E-01	0.00E+00	0.00E+00	2.71E-03	-3.90E-06	3.11E-01	-1.07E-02
11	-1.10E+01	1.51E+00	-1.17E-01	0.00E+00	0.00E+00	7.07E-03	-3.00E-06	2.14E-01	-8.46E-03
12	-7.34E+01	0.00E+00	0.00E+00	4.84E+00	-1.49E-01	5.86E-02	-2.53E-05	-6.28E-02	0.00E+00
13	-3.45E+01	1.93E+00	-1.38E-01	0.00E+00	0.00E+00	5.00E-02	-2.36E-05	-6.41E-02	8.04E-04
14	-1.21E+01	6.33E-01	-6.26E-02	0.00E+00	0.00E+00	1.26E-02	-4.64E-06	-3.50E-02	0.00E+00
15	-4.80E+01	0.00E+00	0.00E+00	4.04E+00	-1.11E-01	1.42E-02	-4.81E-06	-5.01E-02	0.00E+00
