spp	c0	c_mnan	c2_mnan	c_plan	c2_plan	c_aspect	c_slope
1	-1.73E+01	1.63E+00	-8.72E-02	2.15E-02	-1.15E-05	1.98E-01	-1.46E-03
2	-4.306048566	0.408101462	-0.023192856	0.003017515	0	-0.178082948	-0.003282739
3	1.755349013	-0.227270083	0	-0.000175053	0	0.379978306	-0.012469385
4	-0.699433509	-0.02351746	0.000133229	0	0	-0.027010301	-0.002555682
5	-0.178405135	4.920485102	-0.325736666	-0.045281564	2.67014E-05	-0.301220317	-0.001735321
6	-1.329388451	1.247985147	-0.231484174	-0.000702533	0	-0.114744988	-0.000653532
7	-2.77E+01	4.81E-01	0	6.24E-02	-3.61E-05	-3.88E-01	-3.17E-04
8	-2.399937603	-0.018811618	0	0.002018585	0	-0.221052332	-0.002207204
9	2.532752522	-0.174645001	0	-0.002098412	0	-0.641242475	-0.003864349
10	-5.94911373	0.33712006	0	0.0054839	0	1.49884338	-0.01435655
11	-2.771831446	0.178368178	0	0.00122453	0	-0.380856134	-0.001666839
12	-4.089909016	0.165190206	0	0.002795495	0	-0.016588776	-0.002260845
13	-4.50E+01	7.56E-02	0	9.24E-02	-4.77E-05	-6.44E-01	-1.10E-03
