year	aba.wind	aba.heat	aba.regu	prob.sevr
1	296	0	0	0
2	445	0	0	0
3	13558	0	0	100
4	299	0	0	0
5	891	178	0	0
6	1263	0	0	0
7	0	0	0	61
8	0	0	0	61
9	0	0	0	61
10	0	0	0	61
11	0	0	0	61
12	0	0	0	61
13	0	0	0	61
14	0	0	0	61
15	0	0	0	61
16	0	0	0	61
17	0	0	0	61
18	0	0	0	61
19	0	0	0	61
20	0	0	0	61
21	0	0	0	61
22	0	0	0	61
23	0	0	0	61
24	0	0	0	61
25	0	0	0	61
26	0	0	0	61
27	0	0	0	61
28	0	0	0	61
29	0	0	0	61
30	0	0	0	61
31	0	0	0	61
32	0	0	0	61
33	0	0	0	61
34	0	0	0	61
35	0	0	0	61
36	0	0	0	61
37	0	0	0	61
38	0	0	0	61
39	0	0	0	61
40	0	0	0	61
41	0	0	0	61
42	0	0	0	61
43	0	0	0	61
44	0	0	0	61
45	0	0	0	61
46	0	0	0	61
47	0	0	0	61
48	0	0	0	61
49	0	0	0	61
50	0	0	0	61
51	0	0	0	61
52	0	0	0	99
53	0	0	0	99
54	0	0	0	99
55	0	0	0	99
56	0	0	0	99
57	0	0	0	99
58	0	0	0	99
59	0	0	0	99
60	0	0	0	99
61	0	0	0	99
62	0	0	0	99
63	0	0	0	99
64	0	0	0	99
65	0	0	0	99
66	0	0	0	99
67	0	0	0	99
68	0	0	0	99
69	0	0	0	99
70	0	0	0	99
71	0	0	0	99
72	0	0	0	99
73	0	0	0	99
74	0	0	0	99
75	0	0	0	99
76	0	0	0	99
77	0	0	0	99
78	0	0	0	99
79	0	0	0	99
80	0	0	0	99
81	0	0	0	99
82	0	0	0	99
83	0	0	0	99
84	0	0	0	99
85	0	0	0	99
86	0	0	0	99
87	0	0	0	99
88	0	0	0	99
89	0	0	0	99
90	0	0	0	99
91	0	0	0	99
