Year	Sawlogs	Primary
1	211484	736326
2	213930	742929
3	216376	749533
4	218821	756137
5	221267	762740
6	223713	769344
7	226158	775948
8	228604	782551
9	231050	789155
10	233495	795758
11	237071	802362
12	240646	808966
13	244221	815569
14	247797	822173
15	251372	828777
16	254947	835380
17	258523	841984
18	262098	848587
19	265673	855191
20	269249	861795
21	270160	876244
22	271072	890693
23	271984	905143
24	272895	919592
25	273807	934041
26	274718	948491
27	275630	962940
28	276541	977390
29	277453	991839
30	278364	1006288
31	279632	1017220
32	280899	1028151
33	282166	1039082
34	283433	1050013
35	284700	1060945
36	285967	1071876
37	287234	1082807
38	288501	1093738
39	289769	1104670
40	291036	1115601
41	291191	1126532
42	291345	1137463
43	291500	1148395
44	291655	1159326
45	291810	1170257
46	291964	1181188
47	292119	1192120
48	292274	1203051
49	292429	1213982
50	292583	1224913
51	293329	1231324
52	294076	1237735
53	294822	1244146
54	295568	1250557
55	296314	1256968
56	297060	1263379
57	297806	1269790
58	298552	1276201
59	299298	1282611
60	300044	1289022
61	301155	1294628
62	302265	1300233
63	303375	1305838
64	304486	1311443
65	305596	1317048
66	306707	1322653
67	307817	1328259
68	308928	1333864
69	310038	1339469
70	311148	1345074
71	312063	1347632
72	312977	1350190
73	313891	1352748
74	314806	1355306
75	315720	1357864
76	316635	1360422
77	317549	1362980
78	318463	1365538
79	319378	1368095
80	320292	1370653
81	321339	1375429
82	322386	1380205
83	323433	1384981
84	324480	1389757
85	325527	1394533
86	326574	1399309
87	327621	1404085
88	328668	1408861
89	329715	1413637
90	330762	1418413
91	330762	1418413
