Year	Sawlogs	Primary
1	211484	736326
2	213930	742929
3	216376	749533
4	218821	756137
5	221267	762740
6	223713	769344
7	226158	775948
8	228604	782551
9	231050	789155
10	233495	795758
11	237071	802362
12	240646	808966
13	244221	815569
14	247797	822173
15	251372	828777
16	254947	835380
17	258523	841984
18	262098	848587
19	265673	855191
20	269249	861795
21	270160	876244
22	271072	890693
23	271984	905143
24	272895	919592
25	273807	934041
26	274718	948491
27	275630	962940
28	276541	977390
29	277453	991839
30	278364	1006288
31	279632	1013654
32	280899	1021020
33	282166	1028385
34	283433	1035751
35	284700	1043116
36	285967	1050482
37	287234	1057848
38	288501	1065213
39	289769	1072579
40	291036	1079945
41	291036	1087310
42	291036	1094676
43	291036	1102041
44	291036	1109407
45	291036	1116773
46	291036	1124138
47	291036	1131504
48	291036	1138870
49	291036	1146235
50	291036	1153601
51	291539	1153601
52	292042	1153601
53	292545	1153601
54	293048	1153601
55	293551	1153601
56	294054	1153601
57	294556	1153601
58	295059	1153601
59	295562	1153601
60	296065	1153601
61	296297	1153601
62	296528	1153601
63	296759	1153601
64	296991	1153601
65	297222	1153601
66	297453	1153601
67	297685	1153601
68	297916	1153601
69	298147	1153601
70	298379	1153601
71	298872	1153601
72	299365	1153601
73	299859	1153601
74	300352	1153601
75	300845	1153601
76	301339	1153601
77	301832	1153601
78	302325	1153601
79	302819	1153601
80	303312	1153601
81	303757	1153601
82	304201	1153601
83	304646	1153601
84	305090	1153601
85	305535	1153601
86	305980	1153601
87	306424	1153601
88	306869	1153601
89	307314	1153601
90	307758	1153601
