spp	sqi	c	x	x2
1	1	0.91072	-0.02126704	-0.00014506
1	2	1.1384	-0.0146	-3.00E-04
1	3	1.36608	-0.0047	-9.00E-04
2	1	0.56568	0.01187757	-0.00048465
2	2	0.7071	0.0075	-5.00E-04
2	3	0.84852	0.0037	-4.00E-04
4	1	0.56568	0.01602588	-0.00049132
4	2	0.7071	0.0122	-4.00E-04
4	3	0.84852	0.0038	-3.00E-04
6	1	0.56568	0.00542367	-0.00021896
6	2	0.7071	0.0073	-3.00E-04
6	3	0.84852	0.0197	-8.00E-04
9	1	0.73016	-0.01001717	-8.34E-06
9	2	0.9127	-0.0317	2.00E-04
9	3	1.09524	-0.0352	0
8	1	0.73016	-0.0006674	-0.00052185
8	2	0.9127	-0.0086	-3.00E-04
8	3	1.09524	-0.0063	-4.00E-04
3	1	0.56568	0.0025	-2.00E-04
3	2	0.7071	0.00180776	-0.00014852
5	1	0.80632	0.0106	-9.00E-04
5	2	1.0079	0.03120607	-0.00166652
7	1	0.77408	0.003	-2.00E-04
7	2	0.9676	0.00312657	-0.00019692
12	1	0.77408	-0.0024	-2.00E-04
12	2	0.9676	-0.00382767	-0.00016085
11	1	0.73016	-0.0123	0
11	2	0.9127	-0.02216281	7.05E-05
10	1	0.73016	-0.0196	-1.00E-04
10	2	0.9127	-0.01610576	-0.00075191
13	1	0.9676	0.00574104	-0.00091585
13	2	0.77408	0.0262	-8.00E-04
