spp	sqi	minab.prep	pctgextract.prep	thab.prep	minab.diss	pctgextract.diss	thab.diss	minab.fin	pctgextract.fin
1	1	NA	NA	NA	0	70	0	0	100
1	2	NA	NA	NA	20	60	10	7	100
1	3	NA	NA	NA	32	60	15	12	100
2	1	29	40	19.5	17	60	7.5	8	100
2	2	25	40	18.5	15	60	7.5	8	100
2	3	50	40	23.5	31	60	10.5	13	100
3	1	18	40	0	0	60	0	0	100
3	2	30	40	12.5	17	60	6.5	8	100
3	3	34	40	19.5	20	60	8.5	9	100
4	1	33	30	20	25	60	10	12	100
4	2	46	50	25	25	60	10	11	100
4	3	60	50	30	32	60	10	13	100
5	1	NA	NA	NA	NA	NA	NA	0	100
5	2	NA	NA	NA	NA	NA	NA	0	100
5	3	NA	NA	NA	NA	NA	NA	NA	NA
6	1	NA	NA	NA	25	60	15	15	100
6	2	NA	NA	NA	30	60	20	15	100
6	3	NA	NA	NA	30	60	20	15	100
7	1	NA	NA	NA	25	60	15	15	100
7	2	NA	NA	NA	30	60	20	15	100
7	3	NA	NA	NA	NA	NA	NA	NA	NA
8	1	NA	NA	NA	NA	NA	NA	25	100
8	2	NA	NA	NA	NA	NA	NA	30	100
8	3	NA	NA	NA	NA	NA	NA	30	100
9	1	NA	NA	NA	NA	NA	NA	NA	NA
9	2	NA	NA	NA	NA	NA	NA	NA	NA
9	3	NA	NA	NA	NA	NA	NA	NA	NA
10	1	NA	NA	NA	NA	NA	NA	25	100
10	2	NA	NA	NA	NA	NA	NA	28	100
10	3	NA	NA	NA	NA	NA	NA	NA	NA
11	1	NA	NA	NA	NA	NA	NA	25	100
11	2	NA	NA	NA	NA	NA	NA	25	100
11	3	NA	NA	NA	NA	NA	NA	NA	NA
12	1	28	40	17	19	60	8	9	100
12	2	43	40	26	30	60	12	15	100
12	3	NA	NA	NA	NA	NA	NA	NA	NA
13	1	NA	NA	NA	NA	NA	NA	46	100
13	2	NA	NA	NA	NA	NA	NA	41	100
13	3	NA	NA	NA	NA	NA	NA	NA	NA
