spp	sqi	phalepensis	pnigra	ppinea	psylvestris	ppinaster	puncinata	aalba	qilex	qsuber	qfaginea	qhumilis	fsylvatica	other	shrub
1	1	0	0.049808429	0.010217114	0.006385696	0	0	0	0.084291188	0	0.052362708	0.017879949	0	0	0.779054917
2	1	0.095348837	0	0.006976744	0.230232558	0.004651163	0.002325581	0	0.139534884	0	0.08372093	0.13255814	0	0	0.304651163
3	1	0.319148936	0.021276596	0	0	0.035460993	0	0	0.177304965	0.19858156	0.007092199	0	0	0	0.241134752
4	1	0.009913259	0.185873606	0.006195787	0	0.003717472	0.058240397	0.002478315	0.133828996	0	0.045848823	0.175960347	0.038413879	0	0.33952912
5	1	0.054545455	0.054545455	0.127272727	0.018181818	0	0	0	0.054545455	0.454545455	0	0	0	0	0.236363636
6	1	0	0	0	0.075555556	0	0	0.062222222	0	0	0	0	0.008888889	0	0.853333333
7	1	0	0	0	0.12244898	0	0.224489796	0	0	0	0	0	0.469387755	0	0.183673469
8	1	0.101724138	0.087931034	0.017241379	0.137931034	0.001724138	0	0	0	0.003448276	0.051724138	0.122413793	0	0	0.475862069
9	1	0.016666667	0	0.15	0.011111111	0.122222222	0	0	0.327777778	0	0	0.022222222	0	0	0.35
10	1	0.033333333	0.166666667	0	0.066666667	0	0	0	0.266666667	0	0	0.016666667	0.016666667	0	0.433333333
11	1	0.008547009	0.051282051	0	0.247863248	0	0.017094017	0	0.239316239	0	0.008547009	0	0.025641026	0	0.401709402
12	1	0	0	0	0.277777778	0	0.055555556	0.092592593	0.092592593	0	0	0.111111111	0	0	0.37037037
13	1	0	0	0	0.075	0.025	0	0	0.25	0.075	0.025	0.05	0.025	0.15	0.325
1	2	0	0.073490814	0.090551181	0.015748031	0.001312336	0	0	0.202099738	0.001312336	0.041994751	0.022309711	0	0	0.551181102
2	2	0.142473118	0	0.018817204	0.220430108	0.008064516	0	0	0.10483871	0	0.102150538	0.129032258	0	0	0.274193548
3	2	0.141666667	0.016666667	0	0	0.116666667	0	0	0.25	0.266666667	0.016666667	0.083333333	0	0	0.108333333
4	2	0	0.08974359	0.009157509	0	0.003663004	0.128205128	0.007326007	0.054945055	0	0.018315018	0.133699634	0.073260073	0	0.481684982
5	2	0	0	0.2	0.018181818	0	0	0	0.018181818	0.490909091	0.018181818	0.145454545	0	0	0.109090909
6	2	0	0	0	0.308035714	0	0	0.107142857	0	0	0	0	0.008928571	0	0.575892857
7	2	0	0	0	0.214285714	0	0.119047619	0	0	0	0	0	0.380952381	0	0.285714286
8	2	0.153679654	0.045454545	0.069264069	0.073593074	0.015151515	0	0	0	0.095238095	0.025974026	0.212121212	0.004329004	0	0.305194805
9	2	0.020134228	0.006711409	0.315436242	0	0.134228188	0	0	0.208053691	0	0	0.073825503	0	0	0.241610738
10	2	0.068493151	0.04109589	0.04109589	0.164383562	0.01369863	0	0	0.150684932	0	0	0	0.01369863	0	0.506849315
11	2	0.02970297	0.133663366	0.024752475	0.148514851	0.004950495	0	0	0.287128713	0.004950495	0	0	0.03960396	0	0.326732673
12	2	0	0	0	0.318181818	0	0.03030303	0.075757576	0.03030303	0	0	0.045454545	0	0	0.5
13	2	0	0	0	0.203703704	0.037037037	0.055555556	0.055555556	0.074074074	0	0	0	0	0.111111111	0.462962963
1	3	0	0.021459227	0.145922747	0.012875536	0.021459227	0	0	0.403433476	0.038626609	0.004291845	0.034334764	0	0	0.317596567
2	3	0.069565217	0	0.034782609	0.330434783	0.017391304	0	0	0.104347826	0.008695652	0.113043478	0.07826087	0	0	0.243478261
3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	3	0	0.013605442	0	0	0.006802721	0.306122449	0.034013605	0.013605442	0	0.006802721	0.054421769	0.074829932	0	0.489795918
5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	3	0	0	0	0.541666667	0	0	0.055555556	0	0	0	0	0	0	0.402777778
7	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	3	0.155844156	0.045454545	0.084415584	0.051948052	0.025974026	0	0	0	0.142857143	0.006493506	0.246753247	0	0	0.24025974
9	3	0.03125	0	0.125	0	0.09375	0	0.03125	0.3125	0	0	0.125	0	0	0.28125
10	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
