spp	sqi	age	biom.fix
1	1	0	9.1072
1	2	0	11.384
1	3	0	13.6608
2	1	0	5.6568
2	2	0	7.071
2	3	0	8.4852
3	1	0	5.6568
3	2	0	7.071
4	1	0	5.6568
4	2	0	7.071
4	3	0	8.4852
5	1	0	8.0632
5	2	0	10.079
6	1	0	5.6568
6	2	0	7.071
6	3	0	8.4852
7	1	0	7.7408
7	2	0	9.676
8	1	0	7.3016
8	2	0	9.127
8	3	0	10.9524
9	1	0	7.3016
9	2	0	9.127
9	3	0	10.9524
10	1	0	7.3016
10	2	0	9.127
11	1	0	7.3016
11	2	0	9.127
12	1	0	7.7408
12	2	0	9.676
13	1	0	7.7408
13	2	0	9.676
1	1	1	18.01951367
1	2	1	22.59790574
1	3	1	27.24059867
2	1	1	11.37923819
2	2	1	14.19253255
2	3	1	16.9989153
3	1	1	11.32710201
3	2	1	14.15404009
4	1	1	11.402683
4	2	1	14.22626624
4	3	1	17.0004838
5	1	1	16.20601855
5	2	1	20.45559643
6	1	1	11.34357996
6	2	1	14.19211833
6	3	1	17.13179855
7	1	1	15.503624
7	2	1	19.38040903
8	1	1	14.59554475
8	2	1	18.17300874
8	3	1	21.83100168
9	1	1	14.53001417
9	2	1	17.96634014
9	3	1	21.51927552
10	1	1	14.45955551
10	2	1	18.10073916
11	1	1	14.51339032
11	2	1	18.05230731
12	1	1	15.46182368
12	2	1	19.31345751
13	1	1	15.67961536
13	2	1	19.39897566
1	1	2	26.73878181
1	2	2	33.63665635
1	3	2	40.70658334
2	1	2	17.1649203
2	2	2	21.35990514
2	3	2	25.53545276
3	1	2	17.0096537
3	2	2	21.24765179
4	1	2	17.23583283
4	2	2	21.46273122
4	3	2	25.54161515
5	1	2	24.4173652
5	2	2	31.10320277
6	1	2	17.05908628
6	2	2	21.36067831
6	3	2	25.9310151
7	1	2	23.28612763
7	2	2	29.10960691
8	1	2	21.87628672
8	2	2	27.13381311
8	3	2	32.62680266
9	1	2	21.68588847
9	2	2	26.53026295
9	3	2	31.71419702
10	1	2	21.47565743
10	2	2	26.91157766
11	1	2	21.63647562
11	2	2	26.78151495
12	1	2	23.16073394
12	2	2	28.90953211
13	1	2	23.81155326
13	2	2	29.15188066
1	1	3	35.26695582
1	2	3	44.49561843
1	3	3	54.02693006
2	1	3	23.01131838
2	2	3	28.56829215
2	3	3	34.08905156
3	1	3	22.70319127
3	2	3	28.35035732
4	1	3	23.15425639
4	2	3	28.77715059
4	3	3	34.10430206
5	1	3	32.68573057
5	2	3	41.99159081
6	1	3	22.80203713
6	2	3	28.5739229
6	3	3	34.87326269
7	1	3	31.08594113
7	2	3	38.85993374
8	1	3	29.13831221
8	2	3	36.00537501
8	3	3	43.33107347
9	1	3	28.76986503
9	2	3	34.83033071
9	3	3	41.55025729
10	1	3	28.35172251
10	2	3	35.55069045
11	1	3	28.67194697
11	2	3	35.32001793
12	1	3	30.83521979
12	2	3	38.46143274
13	1	3	32.13085675
